Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Urban,Semiurban,Rural,Loan_Status
LP002547,0,1,1,1,1,18333,0,500,360,1,1,0,0,0
LP002555,0,1,2,1,1,4583,2083,160,360,1,0,1,0,1
LP002556,0,1,0,1,1,2435,0,75,360,1,1,0,0,0
LP002560,0,1,0,0,1,2699,2785,96,360,,0,1,0,1
LP002562,0,1,1,0,1,5333,1131,186,360,,1,0,0,1
LP002571,0,1,0,0,1,3691,0,110,360,1,0,0,1,1
LP002582,1,1,0,0,1,17263,0,225,360,1,0,1,0,1
LP002585,0,1,0,1,1,3597,2157,119,360,0,0,0,1,0
LP002586,1,1,1,1,1,3326,913,105,84,1,0,1,0,1
LP002587,0,1,0,0,1,2600,1700,107,360,1,0,0,1,1
LP002588,0,1,0,1,1,4625,2857,111,12,,1,0,0,1
LP002600,0,1,1,1,1,2895,0,95,360,1,0,1,0,1
LP002602,0,1,0,1,1,6283,4416,209,360,0,0,0,1,0
LP002603,1,1,0,1,1,645,3683,113,480,1,0,0,1,1
LP002606,1,1,0,1,1,3159,0,100,360,1,0,1,0,1
LP002615,0,1,2,1,1,4865,5624,208,360,1,0,1,0,1
LP002618,0,1,1,0,1,4050,5302,138,360,,0,0,1,0
LP002619,0,1,0,0,1,3814,1483,124,300,1,0,1,0,1
LP002622,0,1,2,1,1,3510,4416,243,360,1,0,0,1,1
LP002624,0,1,0,1,1,20833,6667,480,360,,1,0,0,1
LP002625,,1,0,1,1,3583,0,96,360,1,1,0,0,0
LP002626,0,1,0,1,1,2479,3013,188,360,1,1,0,0,1
LP002634,1,1,1,1,1,13262,0,40,360,1,1,0,0,1
LP002637,0,1,0,0,1,3598,1287,100,360,1,0,0,1,0
LP002640,0,1,1,1,1,6065,2004,250,360,1,0,1,0,1
LP002643,0,1,2,1,1,3283,2035,148,360,1,1,0,0,1
LP002648,0,1,0,1,1,2130,6666,70,180,1,0,1,0,0
LP002652,0,1,0,1,1,5815,3666,311,360,1,0,0,1,0
LP002659,0,1,3.5,1,1,3466,3428,150,360,1,0,0,1,1
LP002670,1,1,2,1,1,2031,1632,113,480,1,0,1,0,1
LP002682,0,1,,0,1,3074,1800,123,360,0,0,1,0,0
